color_name, color_code
blue, #0000FF
brown, #A52A2A
chocolate, #D2691E
color_name, color_code
coral, #FF7F50
cornflowerblue, #6495ED
crimson, #DC143C
darkblue, #00008B
darkorange, #FF8C00
darkred, #8B0000
darksalmon, #E9967A
darkslateblue, #483D8B
darkviolet, #9400D3
dodgerblue, #1E90FF
firebrick, #B22222
firebrick, #B22222
gold, #FFD700
goldenrod, #DAA520
indianred, #CD5C5C
lightcoral, #F08080
lightsalmon, #FFA07A
maroon, #800000
mediumblue, #0000CD
mediumslateblue, #7B68EE
midnightblue, #191970
navy, #000080
navy, #000080
orange, #FFA500
orangered, #FF4500
peru, #CD853F
plum, #DDA0DD
red, #FF0000
royalblue, #4169E1
saddlebrown, #8B4513
salmon, #FA8072
sandybrown, #F4A460
sienna, #A0522D
slateblue, #6A5ACD
steelblue, #4682B4
teal, #008080
tomato, #FF6347
tomato, #FF6347
turquoise, #40E0D0
